"listed","name","class"
"AZITHROMYCIN  200MG/5ML SUSPENSION","Azithromycin","Macrolide"
"CHLORHEXIDINE  0.2% MOUTHWASH ALCOHOL-FREE","Chlorhexidine","Chlorhexidine"
"CHLORAMPHENICOL  1% EYE OINTMENT","Chloramphenicol","Cephalosporin"
"METRONIDAZOLE  500MG/100ML INFUSION","Metronidazole","Metronidazole"
"CIPROFLOXACIN IN SODIUM CHLORIDE  0.9% INFUSION 200MG/100ML","Ciprofloxacin","Fluoroquinolone"
"VANCOMYCIN  500MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION","Vancomycin","Glycopeptide"
"CALCIUM CARBONATE  1.25G EFFERVESCENT TABLETS SUGAR-FREE (500MG/12.5MMOL OF CALCIUM PER TABLET)","Calcium_carbonate","Calcium_carbonate"
"CIPROFLOXACIN IN SODIUM CHLORIDE  0.9% INFUSION 400MG/200ML","Ciprofloxacin","Fluoroquinolone"
"FLUCLOXACILLIN  1G POWDER FOR SOLUTION FOR INJECTION","Flucloxacillin","Penicillin"
"RIFAMPICIN  600MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION","Rifampicin","Rifamycin"
"FLUCLOXACILLIN  500MG CAPSULES","Flucloxacillin","Penicillin"
"RIFAMPICIN  100MG/5ML SYRUP","Rifampicin","Rifamycin"
"VANCOMYCIN  1G POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION","Vancomycin","Glycopeptide"
"CLINDAMYCIN  300MG/2ML INJECTION","Clindamycin","Lincosamide"
"CLINDAMYCIN  150MG CAPSULES","Clindamycin","Lincosamide"
"CLINDAMYCIN  75MG/5ML ORAL SUSPENSION","Clindamycin","Lincosamide"
"BENZYLPENICILLIN  600MG POWDER FOR SOLUTION FOR INJECTION","Benzylpenicillin","Penicillin"
"NITROFURANTOIN  25MG/5ML ORAL SUSPENSION SUGAR-FREE","Nitrofurantoin","Nitrofuran"
"NITROFURANTOIN  50MG TABLETS","Nitrofurantoin","Nitrofuran"
"CIPROFLOXACIN  500MG TABLETS","Ciprofloxacin","Fluoroquinolone"
"AZITHROMYCIN  250MG TABLETS","Azithromycin","Macrolide"
