"project_id","date","species","samples","n_profiles"
"PR-00000003",2005-07-14,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000004",2000-07-31,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000004",2000-12-12,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000006",2000-09-13,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000009",2002-01-03,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000015",2002-07-22,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000015",2002-08-12,"Methicillin-Resistant Staphylococcus aureus",3,1
"PR-00000015",2003-04-08,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000020",2003-11-14,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000024",2007-11-16,"Methicillin-Resistant Staphylococcus aureus",2,1
"PR-00000031",2000-08-12,"Methicillin-Susceptible Staphylococcus aureus",6,1
"PR-00000033",2000-08-23,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000060",2002-10-06,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000060",2002-10-22,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000065",2001-03-14,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000066",2002-10-17,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000068",2000-06-16,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000068",2000-07-03,"Methicillin-Susceptible Staphylococcus aureus",3,1
"PR-00000074",2001-05-29,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000074",2001-07-25,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000083",2000-05-13,"Methicillin-Susceptible Staphylococcus aureus",2,2
"PR-00000085",2000-06-21,"Methicillin-Resistant Staphylococcus aureus",4,1
"PR-00000085",2000-06-22,"Methicillin-Resistant Staphylococcus aureus",7,1
"PR-00000085",2000-06-22,"Methicillin-Susceptible Staphylococcus aureus",4,1
"PR-00000085",2001-01-17,"Methicillin-Susceptible Staphylococcus aureus",7,3
"PR-00000085",2001-01-18,"Methicillin-Susceptible Staphylococcus aureus",2,1
"PR-00000085",2001-08-20,"Methicillin-Susceptible Staphylococcus aureus",3,1
