"date","SpeciesName","n","prop"
2000-01-01,"Methicillin-Resistant Staphylococcus aureus",20,0.166666666666667
2000-01-01,"Methicillin-Susceptible Staphylococcus aureus",100,0.833333333333333
2000-02-01,"Methicillin-Resistant Staphylococcus aureus",16,0.121212121212121
2000-02-01,"Methicillin-Susceptible Staphylococcus aureus",116,0.878787878787879
2000-03-01,"Methicillin-Resistant Staphylococcus aureus",15,0.110294117647059
2000-03-01,"Methicillin-Susceptible Staphylococcus aureus",121,0.889705882352941
2000-04-01,"Methicillin-Resistant Staphylococcus aureus",28,0.227642276422764
2000-04-01,"Methicillin-Susceptible Staphylococcus aureus",95,0.772357723577236
2000-05-01,"Methicillin-Resistant Staphylococcus aureus",25,0.139664804469274
2000-05-01,"Methicillin-Susceptible Staphylococcus aureus",154,0.860335195530726
2000-06-01,"Methicillin-Resistant Staphylococcus aureus",29,0.174698795180723
2000-06-01,"Methicillin-Susceptible Staphylococcus aureus",137,0.825301204819277
2000-07-01,"Methicillin-Resistant Staphylococcus aureus",23,0.148387096774194
2000-07-01,"Methicillin-Susceptible Staphylococcus aureus",132,0.851612903225806
2000-08-01,"Methicillin-Resistant Staphylococcus aureus",17,0.109677419354839
2000-08-01,"Methicillin-Susceptible Staphylococcus aureus",138,0.890322580645161
2000-09-01,"Methicillin-Resistant Staphylococcus aureus",20,0.137931034482759
2000-09-01,"Methicillin-Susceptible Staphylococcus aureus",125,0.862068965517241
2000-10-01,"Methicillin-Resistant Staphylococcus aureus",28,0.16374269005848
2000-10-01,"Methicillin-Susceptible Staphylococcus aureus",143,0.83625730994152
2000-11-01,"Methicillin-Resistant Staphylococcus aureus",16,0.10062893081761
2000-11-01,"Methicillin-Susceptible Staphylococcus aureus",143,0.89937106918239
2000-12-01,"Methicillin-Resistant Staphylococcus aureus",22,0.153846153846154
2000-12-01,"Methicillin-Susceptible Staphylococcus aureus",121,0.846153846153846
2001-01-01,"Methicillin-Resistant Staphylococcus aureus",38,0.192893401015228
2001-01-01,"Methicillin-Susceptible Staphylococcus aureus",159,0.807106598984772
2001-02-01,"Methicillin-Resistant Staphylococcus aureus",27,0.1875
2001-02-01,"Methicillin-Susceptible Staphylococcus aureus",117,0.8125
2001-03-01,"Methicillin-Resistant Staphylococcus aureus",30,0.179640718562874
2001-03-01,"Methicillin-Susceptible Staphylococcus aureus",137,0.820359281437126
2001-04-01,"Methicillin-Resistant Staphylococcus aureus",38,0.218390804597701
2001-04-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.781609195402299
2001-05-01,"Methicillin-Resistant Staphylococcus aureus",33,0.170103092783505
2001-05-01,"Methicillin-Susceptible Staphylococcus aureus",161,0.829896907216495
2001-06-01,"Methicillin-Resistant Staphylococcus aureus",41,0.264516129032258
2001-06-01,"Methicillin-Susceptible Staphylococcus aureus",114,0.735483870967742
2001-07-01,"Methicillin-Resistant Staphylococcus aureus",41,0.203980099502488
2001-07-01,"Methicillin-Susceptible Staphylococcus aureus",160,0.796019900497512
2001-08-01,"Methicillin-Resistant Staphylococcus aureus",33,0.191860465116279
2001-08-01,"Methicillin-Susceptible Staphylococcus aureus",139,0.808139534883721
2001-09-01,"Methicillin-Resistant Staphylococcus aureus",30,0.168539325842697
2001-09-01,"Methicillin-Susceptible Staphylococcus aureus",148,0.831460674157303
2001-10-01,"Methicillin-Resistant Staphylococcus aureus",29,0.168604651162791
2001-10-01,"Methicillin-Susceptible Staphylococcus aureus",143,0.831395348837209
2001-11-01,"Methicillin-Resistant Staphylococcus aureus",26,0.198473282442748
2001-11-01,"Methicillin-Susceptible Staphylococcus aureus",105,0.801526717557252
2001-12-01,"Methicillin-Resistant Staphylococcus aureus",27,0.186206896551724
2001-12-01,"Methicillin-Susceptible Staphylococcus aureus",118,0.813793103448276
2002-01-01,"Methicillin-Resistant Staphylococcus aureus",36,0.209302325581395
2002-01-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.790697674418605
2002-02-01,"Methicillin-Resistant Staphylococcus aureus",34,0.207317073170732
2002-02-01,"Methicillin-Susceptible Staphylococcus aureus",130,0.792682926829268
2002-03-01,"Methicillin-Resistant Staphylococcus aureus",28,0.187919463087248
2002-03-01,"Methicillin-Susceptible Staphylococcus aureus",121,0.812080536912752
2002-04-01,"Methicillin-Resistant Staphylococcus aureus",36,0.189473684210526
2002-04-01,"Methicillin-Susceptible Staphylococcus aureus",154,0.810526315789474
2002-05-01,"Methicillin-Resistant Staphylococcus aureus",34,0.21656050955414
2002-05-01,"Methicillin-Susceptible Staphylococcus aureus",123,0.78343949044586
2002-06-01,"Methicillin-Resistant Staphylococcus aureus",28,0.208955223880597
2002-06-01,"Methicillin-Susceptible Staphylococcus aureus",106,0.791044776119403
2002-07-01,"Methicillin-Resistant Staphylococcus aureus",35,0.175879396984925
2002-07-01,"Methicillin-Susceptible Staphylococcus aureus",164,0.824120603015075
2002-08-01,"Methicillin-Resistant Staphylococcus aureus",37,0.21264367816092
2002-08-01,"Methicillin-Susceptible Staphylococcus aureus",137,0.78735632183908
2002-09-01,"Methicillin-Resistant Staphylococcus aureus",29,0.168604651162791
2002-09-01,"Methicillin-Susceptible Staphylococcus aureus",143,0.831395348837209
2002-10-01,"Methicillin-Resistant Staphylococcus aureus",31,0.158974358974359
2002-10-01,"Methicillin-Susceptible Staphylococcus aureus",164,0.841025641025641
2002-11-01,"Methicillin-Resistant Staphylococcus aureus",23,0.165467625899281
2002-11-01,"Methicillin-Susceptible Staphylococcus aureus",116,0.834532374100719
2002-12-01,"Methicillin-Resistant Staphylococcus aureus",31,0.209459459459459
2002-12-01,"Methicillin-Susceptible Staphylococcus aureus",117,0.790540540540541
2003-01-01,"Methicillin-Resistant Staphylococcus aureus",31,0.23134328358209
2003-01-01,"Methicillin-Susceptible Staphylococcus aureus",103,0.76865671641791
2003-02-01,"Methicillin-Resistant Staphylococcus aureus",35,0.209580838323353
2003-02-01,"Methicillin-Susceptible Staphylococcus aureus",132,0.790419161676647
2003-03-01,"Methicillin-Resistant Staphylococcus aureus",33,0.272727272727273
2003-03-01,"Methicillin-Susceptible Staphylococcus aureus",88,0.727272727272727
2003-04-01,"Methicillin-Resistant Staphylococcus aureus",31,0.191358024691358
2003-04-01,"Methicillin-Susceptible Staphylococcus aureus",131,0.808641975308642
2003-05-01,"Methicillin-Resistant Staphylococcus aureus",33,0.24812030075188
2003-05-01,"Methicillin-Susceptible Staphylococcus aureus",100,0.75187969924812
2003-06-01,"Methicillin-Resistant Staphylococcus aureus",34,0.169154228855721
2003-06-01,"Methicillin-Susceptible Staphylococcus aureus",167,0.830845771144279
2003-07-01,"Methicillin-Resistant Staphylococcus aureus",27,0.149171270718232
2003-07-01,"Methicillin-Susceptible Staphylococcus aureus",154,0.850828729281768
2003-08-01,"Methicillin-Resistant Staphylococcus aureus",25,0.161290322580645
2003-08-01,"Methicillin-Susceptible Staphylococcus aureus",130,0.838709677419355
2003-09-01,"Methicillin-Resistant Staphylococcus aureus",25,0.171232876712329
2003-09-01,"Methicillin-Susceptible Staphylococcus aureus",121,0.828767123287671
2003-10-01,"Methicillin-Resistant Staphylococcus aureus",33,0.208860759493671
2003-10-01,"Methicillin-Susceptible Staphylococcus aureus",125,0.791139240506329
2003-11-01,"Methicillin-Resistant Staphylococcus aureus",26,0.154761904761905
2003-11-01,"Methicillin-Susceptible Staphylococcus aureus",142,0.845238095238095
2003-12-01,"Methicillin-Resistant Staphylococcus aureus",25,0.210084033613445
2003-12-01,"Methicillin-Susceptible Staphylococcus aureus",94,0.789915966386555
2004-01-01,"Methicillin-Resistant Staphylococcus aureus",34,0.231292517006803
2004-01-01,"Methicillin-Susceptible Staphylococcus aureus",113,0.768707482993197
2004-02-01,"Methicillin-Resistant Staphylococcus aureus",34,0.2
2004-02-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.8
2004-03-01,"Methicillin-Resistant Staphylococcus aureus",26,0.145251396648045
2004-03-01,"Methicillin-Susceptible Staphylococcus aureus",153,0.854748603351955
2004-04-01,"Methicillin-Resistant Staphylococcus aureus",19,0.13013698630137
2004-04-01,"Methicillin-Susceptible Staphylococcus aureus",127,0.86986301369863
2004-05-01,"Methicillin-Resistant Staphylococcus aureus",36,0.197802197802198
2004-05-01,"Methicillin-Susceptible Staphylococcus aureus",146,0.802197802197802
2004-06-01,"Methicillin-Resistant Staphylococcus aureus",29,0.156756756756757
2004-06-01,"Methicillin-Susceptible Staphylococcus aureus",156,0.843243243243243
2004-07-01,"Methicillin-Resistant Staphylococcus aureus",31,0.191358024691358
2004-07-01,"Methicillin-Susceptible Staphylococcus aureus",131,0.808641975308642
2004-08-01,"Methicillin-Resistant Staphylococcus aureus",31,0.161458333333333
2004-08-01,"Methicillin-Susceptible Staphylococcus aureus",161,0.838541666666667
2004-09-01,"Methicillin-Resistant Staphylococcus aureus",32,0.197530864197531
2004-09-01,"Methicillin-Susceptible Staphylococcus aureus",130,0.802469135802469
2004-10-01,"Methicillin-Resistant Staphylococcus aureus",38,0.197916666666667
2004-10-01,"Methicillin-Susceptible Staphylococcus aureus",154,0.802083333333333
2004-11-01,"Methicillin-Resistant Staphylococcus aureus",43,0.228723404255319
2004-11-01,"Methicillin-Susceptible Staphylococcus aureus",145,0.771276595744681
2004-12-01,"Methicillin-Resistant Staphylococcus aureus",21,0.124260355029586
2004-12-01,"Methicillin-Susceptible Staphylococcus aureus",148,0.875739644970414
2005-01-01,"Methicillin-Resistant Staphylococcus aureus",31,0.176136363636364
2005-01-01,"Methicillin-Susceptible Staphylococcus aureus",145,0.823863636363636
2005-02-01,"Methicillin-Resistant Staphylococcus aureus",35,0.21875
2005-02-01,"Methicillin-Susceptible Staphylococcus aureus",125,0.78125
2005-03-01,"Methicillin-Resistant Staphylococcus aureus",37,0.202185792349727
2005-03-01,"Methicillin-Susceptible Staphylococcus aureus",146,0.797814207650273
2005-04-01,"Methicillin-Resistant Staphylococcus aureus",35,0.19774011299435
2005-04-01,"Methicillin-Susceptible Staphylococcus aureus",142,0.80225988700565
2005-05-01,"Methicillin-Resistant Staphylococcus aureus",32,0.188235294117647
2005-05-01,"Methicillin-Susceptible Staphylococcus aureus",138,0.811764705882353
2005-06-01,"Methicillin-Resistant Staphylococcus aureus",38,0.191919191919192
2005-06-01,"Methicillin-Susceptible Staphylococcus aureus",160,0.808080808080808
2005-07-01,"Methicillin-Resistant Staphylococcus aureus",31,0.19375
2005-07-01,"Methicillin-Susceptible Staphylococcus aureus",129,0.80625
2005-08-01,"Methicillin-Resistant Staphylococcus aureus",30,0.176470588235294
2005-08-01,"Methicillin-Susceptible Staphylococcus aureus",140,0.823529411764706
2005-09-01,"Methicillin-Resistant Staphylococcus aureus",29,0.171597633136095
2005-09-01,"Methicillin-Susceptible Staphylococcus aureus",140,0.828402366863905
2005-10-01,"Methicillin-Resistant Staphylococcus aureus",32,0.16243654822335
2005-10-01,"Methicillin-Susceptible Staphylococcus aureus",165,0.83756345177665
2005-11-01,"Methicillin-Resistant Staphylococcus aureus",38,0.177570093457944
2005-11-01,"Methicillin-Susceptible Staphylococcus aureus",176,0.822429906542056
2005-12-01,"Methicillin-Resistant Staphylococcus aureus",40,0.263157894736842
2005-12-01,"Methicillin-Susceptible Staphylococcus aureus",112,0.736842105263158
2006-01-01,"Methicillin-Resistant Staphylococcus aureus",30,0.162162162162162
2006-01-01,"Methicillin-Susceptible Staphylococcus aureus",155,0.837837837837838
2006-02-01,"Methicillin-Resistant Staphylococcus aureus",43,0.252941176470588
2006-02-01,"Methicillin-Susceptible Staphylococcus aureus",127,0.747058823529412
2006-03-01,"Methicillin-Resistant Staphylococcus aureus",39,0.222857142857143
2006-03-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.777142857142857
2006-04-01,"Methicillin-Resistant Staphylococcus aureus",29,0.167630057803468
2006-04-01,"Methicillin-Susceptible Staphylococcus aureus",144,0.832369942196532
2006-05-01,"Methicillin-Resistant Staphylococcus aureus",33,0.20625
2006-05-01,"Methicillin-Susceptible Staphylococcus aureus",127,0.79375
2006-06-01,"Methicillin-Resistant Staphylococcus aureus",30,0.173410404624277
2006-06-01,"Methicillin-Susceptible Staphylococcus aureus",143,0.826589595375723
2006-07-01,"Methicillin-Resistant Staphylococcus aureus",32,0.175824175824176
2006-07-01,"Methicillin-Susceptible Staphylococcus aureus",150,0.824175824175824
2006-08-01,"Methicillin-Resistant Staphylococcus aureus",36,0.181818181818182
2006-08-01,"Methicillin-Susceptible Staphylococcus aureus",162,0.818181818181818
2006-09-01,"Methicillin-Resistant Staphylococcus aureus",36,0.233766233766234
2006-09-01,"Methicillin-Susceptible Staphylococcus aureus",118,0.766233766233766
2006-10-01,"Methicillin-Resistant Staphylococcus aureus",40,0.227272727272727
2006-10-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.772727272727273
2006-11-01,"Methicillin-Resistant Staphylococcus aureus",24,0.134078212290503
2006-11-01,"Methicillin-Susceptible Staphylococcus aureus",155,0.865921787709497
2006-12-01,"Methicillin-Resistant Staphylococcus aureus",23,0.140243902439024
2006-12-01,"Methicillin-Susceptible Staphylococcus aureus",141,0.859756097560976
2007-01-01,"Methicillin-Resistant Staphylococcus aureus",38,0.223529411764706
2007-01-01,"Methicillin-Susceptible Staphylococcus aureus",132,0.776470588235294
2007-02-01,"Methicillin-Resistant Staphylococcus aureus",23,0.159722222222222
2007-02-01,"Methicillin-Susceptible Staphylococcus aureus",121,0.840277777777778
2007-03-01,"Methicillin-Resistant Staphylococcus aureus",25,0.138121546961326
2007-03-01,"Methicillin-Susceptible Staphylococcus aureus",156,0.861878453038674
2007-04-01,"Methicillin-Resistant Staphylococcus aureus",28,0.170731707317073
2007-04-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.829268292682927
2007-05-01,"Methicillin-Resistant Staphylococcus aureus",34,0.181818181818182
2007-05-01,"Methicillin-Susceptible Staphylococcus aureus",153,0.818181818181818
2007-06-01,"Methicillin-Resistant Staphylococcus aureus",32,0.171122994652406
2007-06-01,"Methicillin-Susceptible Staphylococcus aureus",155,0.828877005347594
2007-07-01,"Methicillin-Resistant Staphylococcus aureus",40,0.203045685279188
2007-07-01,"Methicillin-Susceptible Staphylococcus aureus",157,0.796954314720812
2007-08-01,"Methicillin-Resistant Staphylococcus aureus",29,0.156756756756757
2007-08-01,"Methicillin-Susceptible Staphylococcus aureus",156,0.843243243243243
2007-09-01,"Methicillin-Resistant Staphylococcus aureus",28,0.2
2007-09-01,"Methicillin-Susceptible Staphylococcus aureus",112,0.8
2007-10-01,"Methicillin-Resistant Staphylococcus aureus",36,0.18848167539267
2007-10-01,"Methicillin-Susceptible Staphylococcus aureus",155,0.81151832460733
2007-11-01,"Methicillin-Resistant Staphylococcus aureus",32,0.156862745098039
2007-11-01,"Methicillin-Susceptible Staphylococcus aureus",172,0.843137254901961
2007-12-01,"Methicillin-Resistant Staphylococcus aureus",19,0.159663865546218
2007-12-01,"Methicillin-Susceptible Staphylococcus aureus",100,0.840336134453782
2008-01-01,"Methicillin-Resistant Staphylococcus aureus",35,0.207100591715976
2008-01-01,"Methicillin-Susceptible Staphylococcus aureus",134,0.792899408284024
2008-02-01,"Methicillin-Resistant Staphylococcus aureus",40,0.224719101123595
2008-02-01,"Methicillin-Susceptible Staphylococcus aureus",138,0.775280898876405
2008-03-01,"Methicillin-Resistant Staphylococcus aureus",33,0.208860759493671
2008-03-01,"Methicillin-Susceptible Staphylococcus aureus",125,0.791139240506329
2008-04-01,"Methicillin-Resistant Staphylococcus aureus",30,0.163934426229508
2008-04-01,"Methicillin-Susceptible Staphylococcus aureus",153,0.836065573770492
2008-05-01,"Methicillin-Resistant Staphylococcus aureus",35,0.217391304347826
2008-05-01,"Methicillin-Susceptible Staphylococcus aureus",126,0.782608695652174
2008-06-01,"Methicillin-Resistant Staphylococcus aureus",26,0.149425287356322
2008-06-01,"Methicillin-Susceptible Staphylococcus aureus",148,0.850574712643678
2008-07-01,"Methicillin-Resistant Staphylococcus aureus",37,0.207865168539326
2008-07-01,"Methicillin-Susceptible Staphylococcus aureus",141,0.792134831460674
2008-08-01,"Methicillin-Resistant Staphylococcus aureus",33,0.201219512195122
2008-08-01,"Methicillin-Susceptible Staphylococcus aureus",131,0.798780487804878
2008-09-01,"Methicillin-Resistant Staphylococcus aureus",42,0.206896551724138
2008-09-01,"Methicillin-Susceptible Staphylococcus aureus",161,0.793103448275862
2008-10-01,"Methicillin-Resistant Staphylococcus aureus",44,0.224489795918367
2008-10-01,"Methicillin-Susceptible Staphylococcus aureus",152,0.775510204081633
2008-11-01,"Methicillin-Resistant Staphylococcus aureus",34,0.175257731958763
2008-11-01,"Methicillin-Susceptible Staphylococcus aureus",160,0.824742268041237
2008-12-01,"Methicillin-Resistant Staphylococcus aureus",35,0.241379310344828
2008-12-01,"Methicillin-Susceptible Staphylococcus aureus",110,0.758620689655172
2009-01-01,"Methicillin-Resistant Staphylococcus aureus",33,0.222972972972973
2009-01-01,"Methicillin-Susceptible Staphylococcus aureus",115,0.777027027027027
2009-02-01,"Methicillin-Resistant Staphylococcus aureus",45,0.283018867924528
2009-02-01,"Methicillin-Susceptible Staphylococcus aureus",114,0.716981132075472
2009-03-01,"Methicillin-Resistant Staphylococcus aureus",44,0.282051282051282
2009-03-01,"Methicillin-Susceptible Staphylococcus aureus",112,0.717948717948718
2009-04-01,"Methicillin-Resistant Staphylococcus aureus",36,0.2
2009-04-01,"Methicillin-Susceptible Staphylococcus aureus",144,0.8
2009-05-01,"Methicillin-Resistant Staphylococcus aureus",50,0.277777777777778
2009-05-01,"Methicillin-Susceptible Staphylococcus aureus",130,0.722222222222222
2009-06-01,"Methicillin-Resistant Staphylococcus aureus",40,0.217391304347826
2009-06-01,"Methicillin-Susceptible Staphylococcus aureus",144,0.782608695652174
2009-07-01,"Methicillin-Resistant Staphylococcus aureus",47,0.242268041237113
2009-07-01,"Methicillin-Susceptible Staphylococcus aureus",147,0.757731958762887
2009-08-01,"Methicillin-Resistant Staphylococcus aureus",37,0.218934911242604
2009-08-01,"Methicillin-Susceptible Staphylococcus aureus",132,0.781065088757396
2009-09-01,"Methicillin-Resistant Staphylococcus aureus",32,0.193939393939394
2009-09-01,"Methicillin-Susceptible Staphylococcus aureus",133,0.806060606060606
2009-10-01,"Methicillin-Resistant Staphylococcus aureus",36,0.225
2009-10-01,"Methicillin-Susceptible Staphylococcus aureus",124,0.775
2009-11-01,"Methicillin-Resistant Staphylococcus aureus",32,0.211920529801325
2009-11-01,"Methicillin-Susceptible Staphylococcus aureus",119,0.788079470198676
2009-12-01,"Methicillin-Resistant Staphylococcus aureus",40,0.233918128654971
2009-12-01,"Methicillin-Susceptible Staphylococcus aureus",131,0.766081871345029
2010-01-01,"Methicillin-Resistant Staphylococcus aureus",35,0.188172043010753
2010-01-01,"Methicillin-Susceptible Staphylococcus aureus",151,0.811827956989247
2010-02-01,"Methicillin-Resistant Staphylococcus aureus",42,0.238636363636364
2010-02-01,"Methicillin-Susceptible Staphylococcus aureus",134,0.761363636363636
2010-03-01,"Methicillin-Resistant Staphylococcus aureus",46,0.258426966292135
2010-03-01,"Methicillin-Susceptible Staphylococcus aureus",132,0.741573033707865
2010-04-01,"Methicillin-Resistant Staphylococcus aureus",37,0.213872832369942
2010-04-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.786127167630058
2010-05-01,"Methicillin-Resistant Staphylococcus aureus",44,0.232804232804233
2010-05-01,"Methicillin-Susceptible Staphylococcus aureus",145,0.767195767195767
2010-06-01,"Methicillin-Resistant Staphylococcus aureus",35,0.179487179487179
2010-06-01,"Methicillin-Susceptible Staphylococcus aureus",160,0.82051282051282
2010-07-01,"Methicillin-Resistant Staphylococcus aureus",33,0.189655172413793
2010-07-01,"Methicillin-Susceptible Staphylococcus aureus",141,0.810344827586207
2010-08-01,"Methicillin-Resistant Staphylococcus aureus",35,0.189189189189189
2010-08-01,"Methicillin-Susceptible Staphylococcus aureus",150,0.810810810810811
2010-09-01,"Methicillin-Resistant Staphylococcus aureus",37,0.213872832369942
2010-09-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.786127167630058
2010-10-01,"Methicillin-Resistant Staphylococcus aureus",35,0.195530726256983
2010-10-01,"Methicillin-Susceptible Staphylococcus aureus",144,0.804469273743017
2010-11-01,"Methicillin-Resistant Staphylococcus aureus",35,0.191256830601093
2010-11-01,"Methicillin-Susceptible Staphylococcus aureus",148,0.808743169398907
2010-12-01,"Methicillin-Resistant Staphylococcus aureus",32,0.203821656050955
2010-12-01,"Methicillin-Susceptible Staphylococcus aureus",125,0.796178343949045
2011-01-01,"Methicillin-Resistant Staphylococcus aureus",43,0.25
2011-01-01,"Methicillin-Susceptible Staphylococcus aureus",129,0.75
2011-02-01,"Methicillin-Resistant Staphylococcus aureus",41,0.25
2011-02-01,"Methicillin-Susceptible Staphylococcus aureus",123,0.75
2011-03-01,"Methicillin-Resistant Staphylococcus aureus",33,0.195266272189349
2011-03-01,"Methicillin-Susceptible Staphylococcus aureus",136,0.804733727810651
2011-04-01,"Methicillin-Resistant Staphylococcus aureus",39,0.224137931034483
2011-04-01,"Methicillin-Susceptible Staphylococcus aureus",135,0.775862068965517
2011-05-01,"Methicillin-Resistant Staphylococcus aureus",32,0.192771084337349
2011-05-01,"Methicillin-Susceptible Staphylococcus aureus",134,0.807228915662651
2011-06-01,"Methicillin-Resistant Staphylococcus aureus",40,0.217391304347826
